City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Sistranda,63.73,8.83,44.6,65,20,13.87,NO,1588528798
Dubica,45.18,16.81,59.0,62,27,4.7,BA,1588528799
Bengkulu,-3.8,102.27,76.84,87,97,4.7,ID,1588528799
São Filipe,14.9,-24.5,78.21,58,3,11.77,CV,1588528799
Qaanaaq,77.48,-69.36,24.91,88,90,1.77,GL,1588528799
Port Alfred,-33.59,26.89,61.0,97,14,10.09,ZA,1588528800
Yellowknife,62.46,-114.35,43.0,80,75,11.41,CA,1588528800
Saskylakh,71.92,114.08,12.61,94,72,4.56,RU,1588528800
Jacksonville Beach,30.29,-81.39,86.0,51,1,6.93,US,1588528800
Inta,66.03,60.17,25.86,96,100,2.24,RU,1588528801
Nadym,65.53,72.52,22.6,97,99,16.55,RU,1588528802
Bairiki Village,1.33,172.98,82.02,83,87,16.8,KI,1588528802
Nanortalik,60.14,-45.24,38.88,91,100,15.93,GL,1588528803
Waingapu,-9.66,120.26,76.64,83,4,9.84,ID,1588528803
Hermanus,-34.42,19.23,60.01,74,86,1.01,ZA,1588528804
Ushuaia,-54.8,-68.3,42.8,60,75,5.82,AR,1588528661
Geraldton,-28.77,114.6,64.4,93,8,11.41,AU,1588528807
Taragual,14.75,-88.48,85.14,34,52,5.57,HN,1588528809
Umeå,63.83,20.26,48.2,66,41,11.41,SE,1588528621
Ahipara,-35.17,173.17,61.92,84,25,12.26,NZ,1588528810
Laas,46.62,10.7,51.8,27,75,5.82,IT,1588528810
Sitka,57.05,-135.33,50.0,61,75,13.87,US,1588528810
Butaritari,3.07,172.79,81.54,84,100,18.61,KI,1588528811
Airai,-8.93,125.41,57.31,71,88,3.11,TL,1588528811
Lodwar,3.12,35.6,88.81,40,40,8.25,KE,1588528807
Progreso,21.28,-89.67,97.0,41,20,13.87,MX,1588528811
Norman Wells,65.28,-126.83,26.6,63,75,11.41,CA,1588528812
Tiksi,71.69,128.87,12.36,91,6,8.57,RU,1588528812
Ancud,-41.87,-73.82,55.99,87,75,9.17,CL,1588528812
Aasiaat,68.71,-52.87,29.84,98,98,14.27,GL,1588528813
Qeshm,26.96,56.27,82.4,61,0,4.7,IR,1588528813
Krasnofarfornyy,59.14,31.85,48.16,92,99,3.27,RU,1588528813
Mar del Plata,-38.0,-57.56,66.0,68,75,12.75,AR,1588528680
Hobyo,5.35,48.53,86.86,70,99,20.07,SO,1588528814
Beringovskiy,63.05,179.32,22.78,95,53,3.49,RU,1588528814
Mandalgovi,45.76,106.27,52.12,21,33,9.69,MN,1588528815
Sarangani,5.4,125.46,83.32,81,51,9.28,PH,1588528815
Bethel,41.37,-73.41,77.0,49,1,11.41,US,1588528556
Lowestoft,52.48,1.75,55.0,96,85,5.99,GB,1588528700
Cap-aux-Meules,47.38,-61.86,44.6,65,20,13.87,CA,1588528815
Torbay,47.67,-52.73,43.0,100,90,10.29,CA,1588528816
Balkhash,46.84,74.98,59.02,51,40,15.32,KZ,1588528816
San Quintín,30.48,-115.95,69.33,62,4,17.09,MX,1588528816
Souillac,-20.52,57.52,75.2,88,40,9.17,MU,1588528817
Santa Rosa,14.31,121.11,84.2,70,20,2.24,PH,1588528817
Severo-Yeniseyskiy,60.37,93.04,42.42,71,100,8.61,RU,1588528817
Hilo,19.73,-155.09,71.6,88,90,8.05,US,1588528808
Mackenzie,55.3,-123.17,37.4,93,90,12.75,CA,1588528818
Yulara,-25.24,130.99,53.6,54,0,6.93,AU,1588528818
Touros,-5.2,-35.46,86.0,70,20,13.87,BR,1588528642
Ribeira Grande,38.52,-28.7,57.2,87,75,17.22,PT,1588528819
São João da Barra,-21.64,-41.05,77.0,61,75,11.41,BR,1588528819
Salinópolis,-0.61,-47.36,81.81,85,100,10.02,BR,1588528820
Andenes,69.31,16.12,42.8,70,96,5.82,NO,1588528820
Bluff,-46.6,168.33,51.62,79,70,1.86,NZ,1588528820
Barrow,71.29,-156.79,-0.4,91,90,5.82,US,1588528820
Khatanga,71.97,102.5,4.66,94,91,1.83,RU,1588528821
Khovd,48.01,91.64,55.76,19,23,3.02,MN,1588528821
Fairbanks,64.84,-147.72,46.0,32,1,12.75,US,1588528821
Svetlaya,46.54,138.33,43.79,75,99,3.06,RU,1588528821
San Policarpo,12.18,125.51,82.69,86,100,10.38,PH,1588528822
Lüderitz,-26.65,15.16,68.31,57,0,21.88,NA,1588528822
Ol'ga,43.74,135.29,44.44,82,13,2.37,RU,1588528822
Zelenoborskiy,66.84,32.36,34.25,95,100,9.04,RU,1588528822
Arraial do Cabo,-22.97,-42.03,75.2,69,40,20.8,BR,1588528653
Bambous Virieux,-20.34,57.76,78.01,88,40,9.17,MU,1588528823
Nome,64.5,-165.41,32.0,85,1,6.8,US,1588528823
Marzuq,14.4,46.47,81.61,39,61,8.12,YE,1588528824
Mae Sai,20.43,99.88,73.0,100,37,1.12,TH,1588528589
Ponta do Sol,32.67,-17.1,68.0,64,75,17.22,PT,1588528824
Ostrovnoy,68.05,39.51,34.03,91,100,14.9,RU,1588528824
Cassilândia,-19.11,-51.73,81.57,47,12,4.0,BR,1588528825
Brandfort,-28.7,26.46,57.2,58,0,1.12,ZA,1588528825
Hasaki,35.73,140.83,64.99,82,75,10.29,JP,1588528825
Albany,42.6,-73.97,75.2,31,20,17.22,US,1588528562
Havre-St-Pierre,50.23,-63.6,50.0,37,3,17.22,CA,1588528826
Barra do Garças,-15.89,-52.26,89.6,38,8,5.82,BR,1588528826
Weston,26.1,-80.4,86.0,48,40,4.7,US,1588528826
Vila Praia de Âncora,41.81,-8.85,82.99,57,100,6.93,PT,1588528827
San Cristobal,7.77,-72.22,91.4,52,40,12.75,VE,1588528827
Port Elizabeth,-33.92,25.57,60.8,93,17,5.82,ZA,1588528827
Malanje,-9.54,16.34,69.12,61,14,2.37,AO,1588528827
Anadyr,64.75,177.48,19.4,92,90,4.47,RU,1588528828
Puerto Varas,-41.32,-72.99,55.4,87,90,14.99,CL,1588528664
High Prairie,55.43,-116.49,56.89,42,13,13.49,CA,1588528828
Lázaro Cárdenas,17.96,-102.2,86.68,45,0,8.23,MX,1588528801
Provideniya,64.38,-173.3,32.05,90,0,2.77,RU,1588528829
Marsá Maţrūḩ,31.35,27.25,68.0,64,0,9.17,EG,1588528829
Klaksvík,62.23,-6.59,42.8,56,31,12.75,FO,1588528829
Tuktoyaktuk,69.45,-133.04,6.8,84,90,14.99,CA,1588528829
Aswān,24.09,32.91,91.69,11,0,7.34,EG,1588528830
Broome,42.25,-75.83,73.0,32,40,12.75,US,1588528830
Chokurdakh,70.63,147.92,2.84,93,80,5.61,RU,1588528830
Alofi,-19.06,-169.92,66.2,100,55,1.12,NU,1588528831
Chemal,51.41,86.0,58.39,36,99,4.34,RU,1588528831
Manyana,-23.4,21.72,67.91,15,0,7.87,BW,1588528831
Sur,22.57,59.53,89.4,54,16,2.13,OM,1588528831
Provincia di Imperia,43.97,7.78,73.4,42,40,9.17,IT,1588528832
La Sarre,48.8,-79.2,39.24,86,100,11.21,CA,1588528740
Cherskiy,68.75,161.3,22.41,96,100,4.68,RU,1588528832
Stolin,51.89,26.85,54.59,76,87,5.77,BY,1588528832
Buguda,19.82,84.8,84.33,74,1,3.38,IN,1588528833
Olinda,-8.01,-34.86,86.0,70,40,8.05,BR,1588528833
Grimshaw,56.18,-117.6,59.0,42,75,17.22,CA,1588528833
Ormara,25.21,64.64,82.17,83,0,11.59,PK,1588528833
Kropotkin,45.44,40.58,58.1,83,12,4.83,RU,1588528834
Sawākin,19.11,37.33,77.94,48,0,1.5,SD,1588528834
Isangel,-19.55,169.27,76.21,84,72,3.58,VU,1588528834
Dingle,11.0,122.67,79.54,85,100,4.81,PH,1588528835
Puerto Ayora,-0.74,-90.35,84.2,70,75,16.11,EC,1588528835
Upernavik,72.79,-56.15,20.14,96,100,11.61,GL,1588528835
Tsimmerbude,54.67,20.13,50.0,81,40,6.71,RU,1588528835
Angoche,-16.23,39.91,76.24,73,55,8.81,MZ,1588528836
Faanui,-16.48,-151.75,82.81,74,93,12.82,PF,1588528836
Cabo San Lucas,22.89,-109.91,93.2,29,75,6.93,MX,1588528836
Muros,42.78,-9.06,78.01,50,83,1.99,ES,1588528837
Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,64,20,4.47,RU,1588528837
Starosubkhangulovo,53.1,57.44,42.15,59,0,2.3,RU,1588528837
Hamilton,39.18,-84.53,64.99,100,90,4.7,US,1588528838
Ihtiman,42.43,23.82,51.01,73,99,5.99,BG,1588528838
Saint-Augustin,51.23,-58.65,43.43,68,59,8.14,CA,1588528838
Praia,14.92,-23.51,87.8,33,0,23.04,CV,1588528839
Batagay-Alyta,67.8,130.41,4.17,87,54,3.44,RU,1588528839
Shakawe,-18.37,21.85,69.21,35,36,6.82,BW,1588528839
Thompson,55.74,-97.86,32.0,79,75,4.7,CA,1588528839
Umluj,25.02,37.27,85.15,29,19,10.45,SA,1588528839
Bykovo,55.64,38.08,68.0,42,40,2.24,RU,1588528840
Saint-François,46.42,3.91,64.4,72,100,3.36,FR,1588528840
Los Llanos de Aridane,28.66,-17.92,73.4,60,20,12.75,ES,1588528840
Siddipet,18.1,78.85,87.87,27,48,11.03,IN,1588528840
Princeton,25.54,-80.41,84.2,57,90,9.17,US,1588528841
Vila do Maio,15.13,-23.22,87.8,33,0,23.04,CV,1588528841
Fortuna,40.6,-124.16,57.99,81,40,8.05,US,1588528841
Atar,20.52,-13.05,104.77,6,0,12.82,MR,1588528841
Port Lincoln,-34.73,135.87,55.8,76,0,0.74,AU,1588528842
Port-Gentil,-0.72,8.78,84.2,83,40,11.41,GA,1588528842
Rocha,-34.48,-54.33,64.2,59,44,5.23,UY,1588528842
Galveston,29.37,-94.97,84.0,61,90,12.75,US,1588528842
Qui Nhon,13.77,109.23,77.85,87,4,4.12,VN,1588528843
Emerald,-23.53,148.17,53.6,50,9,9.17,AU,1588528843
Ilulissat,69.22,-51.1,33.8,80,99,5.82,GL,1588528843
Carnarvon,-24.87,113.63,60.8,100,75,3.36,AU,1588528843
Lincoln,40.8,-96.67,69.8,35,90,6.93,US,1588528844
Willmar,45.12,-95.04,64.4,27,1,14.99,US,1588528844
Larap,14.3,122.65,80.01,90,100,6.08,PH,1588528844
Goderich,43.75,-81.72,59.0,65,10,5.66,CA,1588528825
Dali,25.7,100.18,58.59,45,67,5.77,CN,1588528845
Mahébourg,-20.41,57.7,75.2,88,40,9.17,MU,1588528845
Polovinnoye,54.79,65.99,41.74,63,14,8.48,RU,1588528845
Salalah,17.02,54.09,86.0,84,40,8.05,OM,1588528846
Bambanglipuro,-7.95,110.28,77.99,85,99,5.39,ID,1588528846
Point Pleasant,40.08,-74.07,73.99,60,1,6.93,US,1588528846
Juruti,-2.15,-56.09,90.1,56,59,3.27,BR,1588528846
Padang,-0.95,100.35,79.7,76,99,4.52,ID,1588528847
Pevek,69.7,170.31,18.64,88,5,11.23,RU,1588528847
East London,-33.02,27.91,67.3,79,25,9.42,ZA,1588528660
Senador José Porfírio,-2.59,-51.95,83.73,79,84,3.02,BR,1588528848
Abu Samrah,35.3,37.18,65.44,40,100,7.76,SY,1588528848
Benjamin Constant,-4.38,-70.03,78.8,100,75,4.7,BR,1588528848
Beisfjord,68.38,17.6,41.0,75,75,11.41,NO,1588528849
Srednekolymsk,67.45,153.68,28.18,97,100,14.88,RU,1588528849
Krivosheino,57.34,83.93,46.72,75,99,9.35,RU,1588528849
Sirte,31.21,16.59,68.13,75,0,15.01,LY,1588528707
Ambilobe,-13.2,49.05,75.22,88,62,3.29,MG,1588528850
Pontes e Lacerda,-15.23,-59.34,87.57,42,97,2.89,BR,1588528850
Suez,29.97,32.53,72.95,44,9,18.86,EG,1588528850
Gizo Government Station,-8.1,156.84,83.41,72,35,3.53,SB,1588528851
Edson,53.58,-116.44,51.8,43,1,2.24,CA,1588528716
Hohhot,40.81,111.65,53.6,34,100,4.47,CN,1588528851
Maragogi,-9.01,-35.22,82.29,74,64,8.05,BR,1588528851
Chui,-33.7,-53.46,65.35,56,29,5.77,UY,1588528852
Mopipi,-21.18,24.88,73.36,21,0,5.66,BW,1588528852
Homestead,25.47,-80.48,84.0,57,90,9.17,US,1588528648
Cap Malheureux,-19.98,57.61,78.01,78,64,5.99,MU,1588528852
Rio Negrinho,-26.25,-49.52,63.0,73,0,1.99,BR,1588528853
College,64.86,-147.8,46.0,30,20,12.75,US,1588528853
Bowen,-20.02,148.23,51.8,93,2,7.85,AU,1588528853
Gunzenhausen,49.1,10.75,59.0,38,1,4.7,DE,1588528853
Esperance,-33.87,121.9,62.6,36,60,19.46,AU,1588528853
Hualmay,-11.1,-77.61,73.99,66,34,9.69,PE,1588528854
Kirakira,-10.45,161.92,80.19,82,100,5.46,SB,1588528854
Hong Kong,22.29,114.16,80.01,74,0,11.99,HK,1588528793
Cayenne,4.93,-52.33,77.0,100,100,2.24,GF,1588528855
Avarua,-21.21,-159.78,71.6,94,83,14.99,CK,1588528855
Pangnirtung,66.15,-65.71,12.2,78,75,16.11,CA,1588528855
Puro,12.48,123.38,82.6,81,100,7.47,PH,1588528855
Dikson,73.51,80.55,14.79,96,100,9.82,RU,1588528856
Coyhaique,-45.58,-72.07,44.6,93,90,10.29,CL,1588528856
Båtsfjord,70.63,29.72,35.6,93,75,9.17,NO,1588528856
Tual,-5.67,132.75,83.43,82,100,14.05,ID,1588528856
Chateaubelair,13.28,-61.25,86.0,70,20,13.87,VC,1588528857
Tevaitoa,-16.78,-151.5,83.48,77,99,14.9,PF,1588528857
Susurluk,39.91,28.16,59.0,87,75,2.24,TR,1588528857
Aklavik,68.22,-135.01,15.8,78,90,4.7,CA,1588528857
Yakeshi,49.28,120.73,39.49,64,0,7.16,CN,1588528858
Korla,41.76,86.15,68.0,37,97,8.01,CN,1588528858
Noumea,-22.28,166.46,78.01,94,90,3.36,NC,1588528804
Shingū,33.73,135.98,58.12,90,100,8.12,JP,1588528858
Honiara,-9.43,159.95,78.8,94,75,6.93,SB,1588528713
Anloga,5.79,0.9,78.8,94,75,2.24,GH,1588528859
Ozinki,51.18,49.68,53.42,56,0,9.71,RU,1588528859
Saint George,37.1,-113.58,81.0,12,1,4.7,US,1588528720
Jiazi,22.88,116.07,75.94,90,20,8.59,CN,1588528860
Kudahuvadhoo,2.67,72.89,83.79,79,93,16.53,MV,1588528860
Filingué,14.35,3.32,101.01,13,2,5.03,NE,1588528860
Birao,10.28,22.79,88.81,12,29,2.82,CF,1588528860
Am Timan,11.03,20.28,90.95,27,78,3.96,TD,1588528861
Nikki,9.94,3.21,86.94,49,12,3.06,BJ,1588528861
Tasiilaq,65.61,-37.64,32.0,93,100,17.22,GL,1588528861
Byron Bay,-28.65,153.62,55.4,62,26,11.41,AU,1588528862
Lafiagi,8.87,5.42,88.81,50,96,1.54,NG,1588528862
Nouadhibou,20.93,-17.03,69.8,73,36,18.34,MR,1588528862
Lagoa,39.05,-27.98,56.7,84,72,23.69,PT,1588528862
Ola,59.58,151.28,31.21,93,99,25.34,RU,1588528863
Moerai,-22.43,-151.33,76.77,76,100,19.95,PF,1588528863
Nhulunbuy,-12.23,136.77,80.6,74,75,13.87,AU,1588528863
Nālūt,30.33,10.85,81.45,14,0,7.25,LY,1588528863
Dunedin,-45.87,170.5,57.0,56,100,4.85,NZ,1588528815
Alta Floresta,-9.88,-56.09,91.4,52,75,6.93,BR,1588528864
Novy Urengoy,66.08,76.63,22.37,97,99,13.87,RU,1588528864
Sambava,-14.27,50.17,77.45,84,100,8.57,MG,1588528864
Kununurra,-15.77,128.73,71.6,28,90,6.93,AU,1588528865
Kruisfontein,-34.0,24.73,59.4,83,53,8.61,ZA,1588528865
Mildura,-34.2,142.15,42.8,93,0,4.7,AU,1588528866
Ossora,59.24,163.07,29.86,97,100,5.55,RU,1588528866
Wakkanai,45.41,141.67,47.93,93,100,12.41,JP,1588528866
San Jose,37.34,-121.89,66.99,55,20,5.82,US,1588528866
Kresttsy,58.25,32.52,49.15,91,86,1.54,RU,1588528867
Esim,4.87,-2.24,83.12,81,98,8.21,GH,1588528867
El Sauzal de Rodríguez,31.9,-116.68,69.01,75,3,4.0,MX,1588528867
Avera,33.19,-82.53,84.99,39,1,12.75,US,1588528867
Lata,40.16,-8.33,82.0,48,99,3.78,PT,1588528868
Caraballeda,10.61,-66.85,84.0,41,51,12.95,VE,1588528868
Sabha,27.04,14.43,78.93,14,0,0.65,LY,1588528868
Kiunga,-6.12,141.29,75.56,97,100,1.97,PG,1588528868
Beloha,-25.17,45.05,66.76,84,2,4.85,MG,1588528869
Amuntai,-2.42,115.25,74.71,94,100,1.54,ID,1588528869
Verkhnyaya Inta,65.98,60.31,25.34,96,100,1.81,RU,1588528869
Malindi,-3.22,40.12,81.3,79,88,17.56,KE,1588528870
Kaeo,-35.1,173.78,57.0,57,4,3.0,NZ,1588528870
Valley,45.13,-116.13,35.6,80,75,9.17,US,1588528870
Barcelos,41.54,-8.62,84.2,42,100,1.43,PT,1588528649
Kalmunai,7.42,81.82,82.78,79,81,5.3,LK,1588528871
Palmer,42.16,-72.33,75.0,43,40,11.41,US,1588528783
Manzhouli,49.6,117.43,44.98,49,52,12.24,CN,1588528871
Thinadhoo,0.53,72.93,83.01,82,100,24.87,MV,1588528871
Mossamedes,-15.2,12.15,77.65,63,0,9.66,AO,1588528871
Half Moon Bay,37.46,-122.43,64.99,76,1,13.87,US,1588528872
Stokmarknes,68.56,14.91,33.01,91,99,1.99,NO,1588528747
Flin Flon,54.77,-101.86,33.8,59,5,5.82,CA,1588528825
Novhorodka,48.37,32.66,64.4,48,95,6.71,UA,1588528873
Samarai,-10.62,150.67,81.0,84,99,15.1,PG,1588528873
Vila Velha,-20.33,-40.29,80.6,54,40,14.99,BR,1588528739
Tarpon Springs,28.15,-82.76,86.0,37,1,5.82,US,1588528809
Fujin,47.26,132.03,41.61,72,100,10.69,CN,1588528874
La Tuque,47.43,-72.78,50.61,81,100,5.73,CA,1588528874
Manassas,38.75,-77.48,70.0,93,20,5.82,US,1588528835
South Venice,27.05,-82.42,87.01,57,1,9.17,US,1588528875
Makakilo City,21.35,-158.09,75.2,69,1,5.82,US,1588528875
Berezniki,59.42,56.81,28.0,67,27,2.62,RU,1588528875
Road Town,18.42,-64.62,84.2,70,20,10.29,VG,1588528876
Terney,45.05,136.61,43.5,75,72,5.08,RU,1588528876
Oriximiná,-1.77,-55.87,88.02,68,59,1.66,BR,1588528876
Hurghada,27.26,33.81,77.0,78,90,6.93,EG,1588528877
Leeton,-34.57,146.4,39.2,100,0,5.86,AU,1588528877
Magadan,59.57,150.8,30.38,94,86,27.69,RU,1588528878
Menongue,-14.66,17.69,64.94,30,0,2.91,AO,1588528878
La Esperanza,14.87,-91.57,75.0,40,11,4.0,GT,1588528878
Cocorit,27.58,-109.97,91.4,14,5,6.93,MX,1588528878
Namatanai,-3.67,152.43,79.11,82,100,5.82,PG,1588528879
Muisne,0.6,-80.03,86.0,79,75,9.17,EC,1588528879
Rāvar,31.27,56.81,77.68,15,2,16.75,IR,1588528879
Fairview,40.81,-74.0,79.0,53,1,4.7,US,1588528830
Codrington,-38.27,141.97,51.91,75,89,3.6,AU,1588528879
Katsuura,35.13,140.3,66.0,82,100,1.99,JP,1588528880
Koulikoro,14.0,-7.75,105.26,6,0,5.79,ML,1588528880
Gimli,50.63,-96.99,43.0,74,62,8.01,CA,1588528862
Caravelas,-17.71,-39.25,78.98,69,18,13.8,BR,1588528880
Antofagasta,-23.65,-70.4,64.4,72,32,14.99,CL,1588528881
Adrar,20.5,-10.07,100.38,6,5,6.85,MR,1588528881
Balta,47.94,29.62,57.47,75,49,3.49,UA,1588528881
Waipawa,-41.41,175.52,59.0,87,42,9.17,NZ,1588528882
Guerrero Negro,27.98,-114.06,70.99,58,9,17.2,MX,1588528882
Acapulco de Juárez,16.86,-99.89,84.2,70,5,8.05,MX,1588528882
Presidencia Roque Sáenz Peña,-26.79,-60.44,81.5,36,42,8.46,AR,1588528882
Gamba,-2.65,10.0,79.45,88,72,6.22,GA,1588528883
Ulaangom,49.98,92.07,54.37,32,77,0.83,MN,1588528883
Contamana,-7.33,-75.02,82.65,84,72,3.22,PE,1588528883
Saint Paul Harbor,57.79,-152.41,48.2,36,1,19.46,US,1588528884
Akdepe,42.06,59.38,78.8,27,90,4.7,TM,1588528884
Krabi,8.07,98.91,81.0,100,20,2.24,TH,1588528884
Margate,51.38,1.39,55.0,66,100,1.01,GB,1588528683
Caçador,-26.78,-51.02,69.44,27,0,3.67,BR,1588528885
Aktau,43.65,51.2,62.6,72,40,6.71,KZ,1588528885
Naryan-Mar,67.67,53.09,19.13,96,73,2.68,RU,1588528885
Kartaly,53.05,60.65,44.42,51,0,6.08,RU,1588528885
Lavrentiya,65.58,-171.0,25.72,90,0,2.01,RU,1588528886
Bikaner,28.02,73.3,89.76,26,3,8.28,IN,1588528886
Mari-Turek,56.79,49.62,44.37,67,7,6.51,RU,1588528886
Ipojuca,-8.4,-35.06,86.0,70,40,8.05,BR,1588528887
Leningradskiy,69.38,178.42,19.15,85,0,3.04,RU,1588528887
Canyon,34.98,-101.92,78.01,53,46,1.01,US,1588528887
Ternate,0.8,127.4,82.15,73,56,1.95,ID,1588528888
São Mateus,-18.72,-39.86,79.47,60,26,12.12,BR,1588528829
Comodoro Rivadavia,-45.87,-67.5,64.4,39,75,19.46,AR,1588528881
Najrān,17.49,44.13,89.6,21,75,4.7,SA,1588528888
Sucúa,-2.47,-78.17,68.0,94,90,6.93,EC,1588528888
Saldanha,-33.01,17.94,60.8,72,4,9.17,ZA,1588528591
Iwaki,37.05,140.88,64.99,85,100,4.0,JP,1588528889
Sobolevo,54.43,31.9,55.74,78,82,3.51,RU,1588528889
Imbituba,-28.24,-48.67,73.4,46,20,10.29,BR,1588528889
Shelabolikha,53.41,82.62,60.8,26,86,4.47,RU,1588528890
Mahon,39.89,4.27,68.0,77,52,8.05,ES,1588528890
Santa Cruz,30.42,-9.6,77.0,57,0,9.17,MA,1588528869
Bull Savanna,17.89,-77.59,82.9,61,62,6.93,JM,1588528891
Banska Bystrica,48.5,19.5,53.6,50,20,8.05,SK,1588528891
Lorengau,-2.02,147.27,81.7,79,92,4.29,PG,1588528891
Eilenburg,51.46,12.63,57.0,66,75,2.24,DE,1588528892
Torrington,41.8,-73.12,73.99,45,44,4.0,US,1588528624
Ardakān,32.31,54.02,80.6,12,24,9.17,IR,1588528892
Amapá,1.0,-52.0,81.16,85,69,3.98,BR,1588528893
Bathsheba,13.22,-59.52,86.0,66,40,20.8,BB,1588528893
Bonfim,3.08,-59.95,81.64,73,89,7.02,BR,1588528893
Diplo,24.47,69.58,83.41,73,0,17.31,PK,1588528893
Longyearbyen,78.22,15.64,19.4,67,20,4.65,SJ,1588528894
Catuday,16.29,119.81,81.75,79,73,8.32,PH,1588528894
Todos Santos,23.45,-110.22,66.99,82,100,5.99,MX,1588528894
Eltham,-39.43,174.3,57.99,90,65,8.21,NZ,1588528895
Douglas,41.3,-96.17,72.0,33,90,4.7,US,1588528689
Okakarara,-20.58,17.43,65.66,15,0,1.74,NA,1588528895
Ukiah,39.15,-123.21,57.99,58,1,6.2,US,1588528665
Aykhal,66.0,111.5,30.2,42,3,6.71,RU,1588528896
North Platte,41.12,-100.77,69.01,52,1,4.7,US,1588528896
Pervomays'k,48.04,30.85,59.54,71,83,1.61,UA,1588528896
Virginia Beach,36.85,-75.98,84.0,47,20,11.41,US,1588528788
Bubaque,11.28,-15.83,79.41,72,0,18.79,GW,1588528896
Olafsvik,64.89,-23.71,39.74,69,100,11.68,IS,1588528897
Marang,5.21,103.21,80.6,94,20,2.24,MY,1588528897
Tessalit,20.2,1.01,96.8,7,0,7.52,ML,1588528897
Nantucket,41.28,-70.1,53.6,76,90,11.41,US,1588528897
Chumikan,54.72,135.31,26.78,91,0,16.37,RU,1588528898
Bilibino,68.05,166.44,14.27,86,0,2.26,RU,1588528898
Isfana,39.84,69.53,64.4,72,11,2.24,KG,1588528898
Cockburn Town,21.46,-71.14,80.06,74,26,6.98,TC,1588528898
Terrace,54.52,-128.6,48.2,70,75,10.29,CA,1588528899
San José de Gracia,20.67,-102.58,94.05,10,1,2.24,MX,1588528899
Bulgan,48.81,103.53,50.2,37,100,4.76,MN,1588528899
Okhotsk,59.38,143.3,34.21,88,100,16.35,RU,1588528899
