City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,API Call Date
PEMEX,18.44,-96.35,81.39,67,2,7.92,MX,1602021942
Reconquista,-29.15,-59.65,65.25,68,87,4.21,AR,1602021942
Alexandria,31.22,29.96,78.8,69,0,5.82,EG,1602021942
Bratsk,56.13,101.61,24.8,79,100,6.71,RU,1602021942
Maragogi,-9.01,-35.22,74.73,81,5,7.09,BR,1602021943
Fortuna,40.6,-124.16,62.6,82,1,10.29,US,1602021671
Pisco,-13.7,-76.22,66.2,72,5,11.41,PE,1602021943
Mazyr,52.05,29.25,57.58,95,100,9.06,BY,1602021944
Burghead,57.7,-3.49,51.8,93,4,5.82,GB,1602021944
Araouane,18.9,-3.53,96.42,19,10,11.41,ML,1602021944
Najrān,17.49,44.13,71.6,21,0,2.1,SA,1602021945
Taman',45.21,36.72,57.2,54,0,6.71,RU,1602021945
Quito,-0.23,-78.52,69.8,49,40,16.11,EC,1602021945
Governador Valadares,-18.85,-41.95,86.23,41,0,5.37,BR,1602021946
Borken,51.85,6.87,54.0,94,17,1.01,DE,1602021946
Ocampo,21.65,-101.5,68.81,23,97,13.6,MX,1602021946
Sakaiminato,35.55,133.23,55.4,93,75,4.7,JP,1602021946
Mareeba,-17.0,145.43,73.4,69,75,8.05,AU,1602021947
Bongandanga,1.5,21.05,71.47,90,34,3.0,CD,1602021947
Dakar,14.69,-17.44,84.2,89,40,6.93,SN,1602021896
Longyearbyen,78.22,15.64,35.6,82,20,10.29,SJ,1602021947
Luangwa,-15.62,30.42,79.66,49,15,10.16,ZM,1602021948
Colonia Nueva Germania,-23.9,-56.57,90.23,33,0,4.61,PY,1602021948
Forsytheganj,52.63,29.73,57.15,96,100,9.69,BY,1602021948
Noumea,-22.28,166.46,73.99,64,75,2.24,NC,1602021863
Bissau,11.86,-15.6,78.8,94,40,3.36,GW,1602021948
Rundu,-17.93,19.77,76.37,22,20,4.52,NA,1602021949
Chingirlau,51.09,54.08,45.73,48,96,10.8,KZ,1602021949
Batagay,67.63,134.63,28.78,93,23,3.65,RU,1602021949
Nurota,40.56,65.69,44.6,42,0,6.93,UZ,1602021949
Barcelona,41.39,2.16,69.01,82,20,10.29,ES,1602021768
Bereda,43.27,-7.54,64.99,97,99,10.0,ES,1602021950
Kazachinskoye,57.7,93.28,32.45,93,100,9.66,RU,1602021950
Barrow,71.29,-156.79,32.0,90,90,5.82,US,1602021951
Benguela,-12.58,13.41,72.84,80,12,4.61,AO,1602021951
Pimentel,-6.84,-79.93,65.1,78,27,14.32,PE,1602021951
Morón,-34.65,-58.62,64.0,62,0,1.99,AR,1602021951
Chui,-33.7,-53.46,52.02,88,51,6.13,UY,1602021952
Rawson,-43.3,-65.1,62.02,29,70,19.77,AR,1602021952
Den Helder,52.96,4.76,55.99,82,75,8.05,NL,1602021952
Chadiza,-14.07,32.44,66.87,70,0,5.21,ZM,1602021952
Buraidah,26.33,43.98,80.6,26,0,6.93,SA,1602021952
Evensk,61.95,159.23,37.89,72,0,14.5,RU,1602021953
Nantucket,41.28,-70.1,60.8,82,90,10.29,US,1602021818
Kitgum,3.28,32.89,68.67,89,97,1.81,UG,1602021953
Muroto-misakicho,33.28,134.15,64.4,55,20,17.22,JP,1602021954
Qingdao,36.1,120.37,60.01,81,85,4.47,CN,1602021954
Guanare,9.04,-69.74,80.17,87,82,2.59,VE,1602021954
Bariloche,-41.15,-71.31,44.6,52,40,27.51,AR,1602021955
Flinders,-34.58,150.86,64.0,91,100,1.01,AU,1602021955
Savannah Bight,16.45,-85.85,83.1,73,100,29.33,HN,1602021955
Griffith,41.53,-87.42,73.99,43,1,13.87,US,1602021917
Port Lincoln,-34.73,135.87,52.84,78,86,19.35,AU,1602021956
Jiutai,44.15,125.83,32.0,72,0,2.24,CN,1602021956
Sal Rei,16.18,-22.92,78.8,74,20,8.05,CV,1602021909
Carutapera,-1.2,-46.02,78.71,78,100,7.96,BR,1602021957
Ancud,-41.87,-73.82,51.01,87,40,9.17,CL,1602021957
Puerto Nariño,-3.77,-70.38,91.4,55,75,5.82,CO,1602021957
Staryy Nadym,65.61,72.68,32.9,96,100,22.64,RU,1602021957
Atar,20.52,-13.05,88.99,43,100,2.73,MR,1602021958
Berdigestyakh,62.1,126.7,33.33,94,81,4.27,RU,1602021958
Lorengau,-2.02,147.27,83.73,75,49,7.72,PG,1602021959
Marsala,37.8,12.44,72.0,72,40,8.05,IT,1602021959
Vila Velha,-20.33,-40.29,82.0,78,2,17.22,BR,1602021959
Baykal'sk,51.51,104.15,37.49,79,59,8.46,RU,1602021959
Pont-à-Mousson,48.91,6.06,54.0,100,90,3.36,FR,1602021869
Faanui,-16.48,-151.75,77.43,80,17,15.7,PF,1602021960
Ahipara,-35.17,173.17,62.19,61,1,4.79,NZ,1602021960
Mlonggo,-6.53,110.7,76.86,76,49,7.49,ID,1602021960
Lerik,38.77,48.41,59.0,82,90,6.93,AZ,1602021961
Manono,-7.3,27.42,75.24,57,0,1.86,CD,1602021961
Massillon,40.8,-81.52,66.2,48,75,16.11,US,1602021961
Coyhaique,-45.58,-72.07,48.2,81,40,6.93,CL,1602021962
Jalpa,21.63,-102.97,78.8,9,75,9.17,MX,1602021962
Chimbote,-9.09,-78.58,65.07,76,72,8.05,PE,1602021962
Boralday,43.36,76.86,28.4,86,20,4.47,KZ,1602021963
Salamiyah,35.01,37.05,67.01,47,0,5.97,SY,1602021963
Lata,40.16,-8.33,64.0,88,5,1.99,PT,1602021963
Nahrin,36.06,69.13,42.85,61,0,0.78,AF,1602021964
Darhan,49.49,105.92,35.8,82,0,6.31,MN,1602021964
De Aar,-30.65,24.01,64.81,37,0,12.3,ZA,1602021965
Bol,13.46,14.71,82.27,78,34,13.35,TD,1602021965
Beloha,-25.17,45.05,65.05,76,14,15.39,MG,1602021965
Alice Springs,-23.7,133.88,51.8,100,90,10.29,AU,1602021966
Province of Mantua,45.17,10.78,62.01,90,100,0.96,IT,1602021838
Shipley,53.83,-1.77,52.0,93,20,14.99,GB,1602021966
Júlio de Castilhos,-29.23,-53.68,60.39,77,14,7.2,BR,1602021966
Marsh Harbour,26.54,-77.06,83.17,77,3,16.11,BS,1602021917
Broome,42.25,-75.83,63.0,41,1,10.29,US,1602021967
Champerico,14.3,-91.92,87.8,74,75,9.17,GT,1602021967
